stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
7310091,,"Stony Rise Rd Outside Lawn Cemetery",, -41.205882, 146.343962,,,0,,2
7310092,,"No.162 Middle Rd (Outside Aurora Depot)",, -41.195608, 146.341684,,,0,,2
7310093,,"No.130 Middle Rd",, -41.193770, 146.344652,,,0,,2
7310094,,"No.502 Mersey Main Rd",, -41.235297, 146.383186,,,0,,2
7310095,,"No.13 Autumn Dr",, -41.203561, 146.378378,,,0,,2
7310096,,"No.1-3 Bridge Rd",, -41.194952, 146.371064,,,0,,2
7310098,,"No.54 Highfield Rd",, -41.206514, 146.379003,,,0,,2
7310099,,"No.24 Highfield Rd",, -41.204437, 146.376392,,,0,,2
7310100,,"No.8 Highfield Rd",, -41.203467, 146.373902,,,0,,2
7310101,,"No.27 Park Drive",, -41.205027, 146.380383,,,0,,2
7310102,,"No.152 River Rd",, -41.203196, 146.370095,,,0,,2
7310103,,"No.138 River Rd",, -41.202552, 146.366168,,,0,,2
7310104,,"No.58 River Rd",, -41.197825, 146.367630,,,0,,2
7310105,,"No.22 River Rd",, -41.195862, 146.369376,,,0,,2
7310106,,"No.123 River Rd",, -41.203167, 146.370431,,,0,,2
7310107,,"No.9 Highfield Rd",, -41.203368, 146.373998,,,0,,2
7310108,,"No.7 River Rd",, -41.196077, 146.369361,,,0,,2
7310109,,"No.93 River Rd",, -41.202437, 146.366228,,,0,,2
7310110,,"No.221 Tarleton St (Outside Argosy Motor Inn)",, -41.191679, 146.370212,,,0,,2
7310111,,"No.43 River Rd",, -41.198030, 146.367608,,,0,,2
7310112,,"No.77 Torquay Rd",, -41.189135, 146.380532,,,0,,2
7310113,,"No.17 Triton Rd",, -41.175052, 146.384498,,,0,,2
7310114,,"No.13 Canning Dr",, -41.189224, 146.384011,,,0,,2
7310115,,"No.168 Tarleton St",, -41.187978, 146.371000,,,0,,2
7310116,,"No.59 Triton Rd",, -41.170834, 146.382309,,,0,,2
7310117,,"No.9 Brooke St",, -41.175237, 146.372424,,,0,,2
7310118,,"No.31 Brooke St",, -41.176038, 146.378488,,,0,,2
7310119,,"No.32 Thomas St",, -41.178703, 146.371214,,,0,,2
7310120,,"No.108 Tarleton St",, -41.181661, 146.372483,,,0,,2
7310121,,"No.41 Canning Dr",, -41.189813, 146.386339,,,0,,2
7310122,,"No.33 Torquay Rd",, -41.187427, 146.374831,,,0,,2
7310123,,"No.80 Mary St (Opp. Melaleuca Home)",, -41.183411, 146.376221,,,0,,2
7310124,,"No.66 Torquay Rd",, -41.188531, 146.379094,,,0,,2
7310125,,"Outside East Devonport Primary, No.19-21 Thomas St",, -41.178573, 146.371144,,,0,,2
7310126,,"No.18 Brooke St",, -41.175280, 146.371963,,,0,,2
7310127,,"No.17 Mary St",, -41.176171, 146.378556,,,0,,2
7310128,,"No.27 North Caroline St",, -41.173896, 146.380830,,,0,,2
7310129,,"No.73 Mary St (Outside Melaleuca Home)",, -41.183435, 146.376337,,,0,,2
7310130,,"No.117 Tarleton St",, -41.181607, 146.372630,,,0,,2
7310131,,"No.185 Tarleton St",, -41.187998, 146.371111,,,0,,2
7310132,,"No.36 Torquay Rd",, -41.187527, 146.374774,,,0,,2
